Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
706,RAM KUMAR CHAND RATAN,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
7065,FRONTIER LOGISTICS,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
71,NEWMONIHARI STORES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
7333,S M DISTRIBUTORS,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
7520,Saj Marketing Pvt Ltd,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
7642,ARUN SUHAG BHANDAR,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
7688,J.B. ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
7693,WAZIR ALI WAZID ALI,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
7713,ANIL KUMAR AND CO.,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
7730,M/S S.D ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
7846,R K MARKETINGS,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
7853,CLASSIC MARKETING,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
7895,JEEVAN ENTERPRISES,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
7924,JITENDRA TRADERS – MT,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
7937,DHANNAJAY ENTERPRISES,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
7961,SAMPURNAM ASSOCIATES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
7967,R. G. ENTERPRISES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
8047,BHAVIK AGENCIES,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
