"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 05:24:45
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 05:24:45
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:24:48
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:24:48
General,General,General,Website Accessible,26-05-2023 05:24:52
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:24:52
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:24:52
General,General,General,Website Accessible,26-05-2023 05:24:56
General,General,General,RPA {Your Process Name} Completed.,26-05-2023 05:24:59
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 05:26:31
General,General,General,Reading Config File....,26-05-2023 05:26:34
General,General,General,Config Data has been added to dictionary,26-05-2023 05:26:34
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 05:26:34
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_23,26-05-2023 05:26:35
General,General,General,Output Report File Creation Completed,26-05-2023 05:26:35
General,General,General,Website Accessible,26-05-2023 05:26:36
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 05:26:36
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 05:26:36
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 05:26:39
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 05:26:39
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:26:41
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:26:41
General,General,General,Website Accessible,26-05-2023 05:26:47
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:26:47
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:26:47
General,General,General,Website Accessible,26-05-2023 05:26:53
General,General,General,RPA {Your Process Name} Completed.,26-05-2023 05:26:57
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:13:34
General,General,General,Reading Config File....,29-05-2023 07:13:38
General,General,General,Config Data has been added to dictionary,29-05-2023 07:13:40
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:15:51
General,General,General,Reading Config File....,29-05-2023 07:15:56
General,General,General,Config Data has been added to dictionary,29-05-2023 07:15:57
General,General,Queue Items,Could not retrieve transaction item. Exception message: Folder does not exist or the user does not have access to the folder. Error code: 1100,29-05-2023 07:17:09
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:17:35
General,General,General,Reading Config File....,29-05-2023 07:17:38
General,General,General,Config Data has been added to dictionary,29-05-2023 07:17:40
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:19:39
General,General,General,Reading Config File....,29-05-2023 07:19:42
General,General,General,Config Data has been added to dictionary,29-05-2023 07:19:44
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:21:33
General,General,General,Reading Config File....,29-05-2023 07:21:36
General,General,General,Config Data has been added to dictionary,29-05-2023 07:21:38
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:23:30
General,General,General,Reading Config File....,29-05-2023 07:23:33
General,General,General,Config Data has been added to dictionary,29-05-2023 07:23:35
General,General,General,Data added to queue successfully,29-05-2023 07:23:45
General,General,General,Folder is Created at location for output folder:Data\Output\29-05-2023\NCARD_29,29-05-2023 07:23:46
General,General,General,Output Report File Creation Completed,29-05-2023 07:23:46
General,General,General,Website Accessible,29-05-2023 07:23:52
General,General,General,Website Accessible,29-05-2023 07:24:35
General,General,General,Website Accessible,29-05-2023 07:24:54
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,29-05-2023 07:29:47
General,General,General,Reading Config File....,29-05-2023 07:29:50
General,General,General,Config Data has been added to dictionary,29-05-2023 07:29:51
General,General,General,Folder is Created at location for output folder:Data\Output\29-05-2023\NCARD_30,29-05-2023 07:29:51
General,General,General,Output Report File Creation Completed,29-05-2023 07:29:51
General,General,General,Website Accessible,29-05-2023 07:29:53
General,General,General,Website Accessible,29-05-2023 07:30:00
General,General,General,Website Accessible,29-05-2023 07:30:08
General,General,General,Website Accessible,29-05-2023 07:30:16
General,General,General,Website Accessible,29-05-2023 07:30:26
